currentTimestamp,moving,storage,onStation,problemStation,goodStation,empty,low,good,high,full
0,0,0,16832,486,696,120,180,733,101,48
1,0,0,16832,486,696,120,180,733,101,48
2,2,0,16830,486,696,120,180,733,101,48
3,5,0,16827,486,696,121,179,733,101,48
4,5,0,16827,486,696,121,179,733,101,48
5,7,0,16825,486,696,121,179,733,102,47
6,8,0,16824,486,696,121,179,733,102,47
7,8,0,16824,486,696,121,179,733,102,47
8,9,0,16823,486,696,121,179,733,102,47
9,11,0,16821,486,696,121,179,733,102,47
10,11,0,16821,486,696,121,179,733,102,47
11,12,0,16820,486,696,121,179,733,102,47
12,12,0,16820,486,696,121,179,733,102,47
13,12,0,16820,486,696,121,179,733,102,47
14,12,0,16820,486,696,121,179,733,102,47
15,12,0,16820,486,696,121,179,733,102,47
16,14,0,16818,487,695,122,179,732,102,47
17,14,0,16818,487,695,122,179,732,102,47
18,14,0,16818,487,695,122,179,732,102,47
19,14,0,16818,487,695,122,179,732,102,47
20,14,0,16818,487,695,122,179,732,102,47
21,14,0,16818,487,695,122,179,732,102,47
22,17,0,16815,487,695,122,179,732,103,46
23,18,0,16814,487,695,122,179,732,103,46
24,19,0,16813,487,695,122,179,732,103,46
25,19,0,16813,487,695,122,179,732,103,46
26,20,0,16812,488,694,122,180,731,103,46
27,20,0,16812,488,694,122,180,731,103,46
28,20,0,16812,488,694,122,180,731,103,46
29,20,0,16812,488,694,122,180,731,103,46
30,20,0,16812,488,694,122,180,731,103,46
31,22,0,16810,488,694,123,179,731,103,46
32,23,0,16809,488,694,123,179,731,103,46
33,23,0,16809,488,694,123,179,731,103,46
34,24,0,16808,488,694,123,179,731,103,46
35,24,0,16808,488,694,123,179,731,103,46
36,24,0,16808,488,694,123,179,731,103,46
37,26,0,16806,488,694,123,179,731,103,46
38,26,0,16806,488,694,123,179,731,103,46
39,27,0,16805,488,694,123,179,731,103,46
40,28,0,16804,488,694,123,179,731,103,46
41,29,0,16803,488,694,123,179,731,103,46
42,29,0,16803,488,694,123,179,731,103,46
43,31,0,16801,488,694,123,179,731,103,46
44,31,0,16801,488,694,123,179,731,103,46
45,32,0,16800,488,694,123,179,732,102,46
46,32,0,16800,488,694,123,179,732,102,46
47,32,0,16800,488,694,123,179,732,102,46
48,32,0,16800,488,694,123,179,732,102,46
49,32,0,16800,488,694,123,179,732,102,46
50,33,0,16799,488,694,123,179,732,102,46
51,34,0,16798,488,694,123,179,732,102,46
52,34,0,16798,488,694,123,179,732,102,46
53,34,0,16798,488,694,123,179,732,102,46
54,35,0,16797,488,694,123,179,732,102,46
55,36,0,16796,488,694,123,179,732,102,46
56,36,0,16796,488,694,123,179,732,102,46
57,36,0,16796,488,694,123,179,732,102,46
58,36,0,16796,488,694,123,179,732,102,46
59,36,0,16796,488,694,123,179,732,102,46
60,36,0,16796,488,694,123,179,732,102,46
61,36,0,16796,488,694,123,179,732,102,46
62,38,0,16794,488,694,123,179,732,102,46
63,40,0,16792,488,694,123,179,732,102,46
64,40,0,16792,488,694,123,179,732,102,46
65,41,0,16791,488,694,123,179,732,102,46
66,42,0,16790,488,694,123,179,732,102,46
67,42,0,16790,488,694,123,179,732,102,46
68,42,0,16790,488,694,123,179,732,102,46
69,43,0,16789,488,694,123,179,732,103,45
70,44,0,16788,488,694,123,179,732,103,45
71,44,0,16788,488,694,123,179,732,103,45
72,45,0,16787,488,694,123,180,731,103,45
73,45,0,16787,488,694,123,180,731,103,45
74,45,0,16787,488,694,123,180,731,103,45
75,45,0,16787,488,694,123,180,731,103,45
76,45,0,16787,488,694,123,180,731,103,45
77,45,0,16787,488,694,123,180,731,103,45
78,46,0,16786,488,694,123,180,731,103,45
79,46,0,16786,488,694,123,180,731,103,45
80,47,0,16785,488,694,123,180,731,103,45
81,47,0,16785,488,694,123,180,731,103,45
82,47,0,16785,488,694,123,180,731,103,45
83,48,0,16784,488,694,123,180,731,103,45
84,50,0,16782,488,694,124,179,731,103,45
85,51,0,16781,488,694,124,179,731,103,45
86,51,0,16781,488,694,124,179,731,103,45
87,53,0,16779,487,695,124,179,731,103,45
88,55,0,16777,487,695,124,179,731,103,45
89,55,0,16777,487,695,124,179,731,103,45
90,56,0,16776,487,695,124,179,732,102,45
91,57,0,16775,487,695,124,179,732,102,45
92,57,0,16775,487,695,124,179,732,102,45
93,56,0,16776,487,695,123,180,732,102,45
94,56,0,16776,487,695,123,180,732,102,45
95,57,0,16775,487,695,123,180,732,102,45
96,58,0,16774,487,695,123,180,732,102,45
97,58,0,16774,487,695,123,180,732,102,45
98,60,0,16772,487,695,123,180,732,102,45
99,61,0,16771,487,695,123,180,732,102,45
100,61,0,16771,487,695,123,180,732,102,45
101,63,0,16769,487,695,123,180,732,102,45
102,63,0,16769,487,695,123,180,732,102,45
103,63,0,16769,487,695,123,180,732,102,45
104,64,0,16768,487,695,123,180,732,102,45
105,64,0,16768,487,695,123,180,732,102,45
106,64,0,16768,487,695,123,180,732,102,45
107,67,0,16765,487,695,123,180,732,102,45
108,67,0,16765,487,695,123,180,732,102,45
109,68,0,16764,487,695,123,180,732,102,45
110,68,0,16764,487,695,123,180,732,102,45
111,69,0,16763,487,695,123,180,732,102,45
112,69,0,16763,487,695,123,180,732,102,45
113,69,0,16763,487,695,123,180,732,102,45
114,69,0,16763,487,695,123,180,732,102,45
115,69,0,16763,487,695,123,180,732,102,45
116,69,0,16763,487,695,123,180,732,102,45
117,69,0,16763,487,695,123,180,732,102,45
118,70,0,16762,487,695,123,180,732,102,45
119,71,0,16761,487,695,123,180,732,102,45
120,72,0,16760,487,695,123,180,732,102,45
121,74,0,16758,487,695,123,180,733,101,45
122,75,0,16757,487,695,123,180,733,101,45
123,75,0,16757,487,695,123,180,733,101,45
124,75,0,16757,487,695,123,180,733,101,45
125,75,0,16757,487,695,123,180,733,101,45
126,75,0,16757,487,695,123,180,733,101,45
127,76,0,16756,487,695,123,180,733,101,45
128,77,0,16755,486,696,123,180,733,101,45
129,78,0,16754,486,696,124,179,733,101,45
130,78,0,16754,486,696,124,179,733,101,45
131,80,0,16752,486,696,124,179,733,101,45
132,80,0,16752,486,696,124,179,733,101,45
133,82,0,16750,486,696,124,179,733,101,45
134,82,0,16750,486,696,124,179,733,101,45
135,82,0,16750,486,696,124,179,733,101,45
136,83,0,16749,487,695,124,180,732,101,45
137,83,0,16749,487,695,124,180,732,101,45
138,83,0,16749,487,695,124,180,732,101,45
139,83,0,16749,487,695,124,180,732,101,45
140,84,0,16748,487,695,124,180,732,101,45
141,84,0,16748,487,695,124,180,732,101,45
142,84,0,16748,487,695,124,180,732,101,45
143,86,0,16746,487,695,124,180,732,101,45
144,86,0,16746,487,695,124,180,732,101,45
145,87,0,16745,487,695,124,180,732,101,45
146,87,0,16745,487,695,124,180,732,101,45
147,88,0,16744,487,695,124,180,732,101,45
148,88,0,16744,487,695,124,180,732,101,45
149,89,0,16743,487,695,124,180,732,101,45
150,89,0,16743,487,695,124,180,732,101,45
151,90,0,16742,487,695,124,180,732,101,45
152,89,0,16743,487,695,124,180,732,101,45
153,90,0,16742,487,695,124,180,733,100,45
154,90,0,16742,487,695,124,180,733,100,45
155,92,0,16740,487,695,124,180,733,100,45
156,92,0,16740,487,695,124,180,733,100,45
157,94,0,16738,487,695,124,180,733,100,45
158,95,0,16737,487,695,124,180,733,100,45
159,98,0,16734,487,695,124,180,733,100,45
160,98,0,16734,487,695,124,180,733,100,45
161,99,0,16733,487,695,124,180,733,100,45
162,99,0,16733,487,695,124,180,733,100,45
163,100,0,16732,487,695,124,180,733,100,45
164,100,0,16732,487,695,124,180,733,100,45
165,101,0,16731,487,695,124,180,733,101,44
166,101,0,16731,487,695,124,180,733,101,44
167,103,0,16729,487,695,124,180,733,101,44
168,104,0,16728,487,695,124,180,733,101,44
169,104,0,16728,487,695,124,180,733,101,44
170,105,0,16727,487,695,124,180,733,101,44
171,106,0,16726,487,695,124,180,733,101,44
172,106,0,16726,487,695,124,180,733,101,44
173,106,0,16726,487,695,124,180,733,101,44
174,106,0,16726,487,695,124,180,733,101,44
175,106,0,16726,487,695,124,180,733,101,44
176,108,0,16724,487,695,124,180,733,101,44
177,109,0,16723,488,694,124,181,732,101,44
178,110,0,16722,488,694,124,181,732,101,44
179,111,0,16721,488,694,124,181,732,101,44
180,113,0,16719,488,694,124,181,732,101,44
181,114,0,16718,488,694,124,181,732,101,44
182,114,0,16718,488,694,124,181,732,101,44
183,115,0,16717,488,694,124,181,732,101,44
184,117,0,16715,488,694,124,181,733,100,44
185,117,0,16715,488,694,124,181,733,100,44
186,119,0,16713,488,694,124,181,734,99,44
187,120,0,16712,488,694,124,181,734,99,44
188,119,0,16713,488,694,124,181,734,99,44
189,120,0,16712,488,694,124,181,734,99,44
190,120,0,16712,488,694,124,181,734,99,44
191,120,0,16712,488,694,124,181,734,99,44
192,121,0,16711,488,694,124,181,734,99,44
193,122,0,16710,488,694,124,181,734,99,44
194,123,0,16709,488,694,124,181,734,99,44
195,122,0,16710,488,694,124,181,734,99,44
196,123,0,16709,488,694,124,181,734,99,44
197,123,0,16709,488,694,124,181,734,99,44
198,124,0,16708,488,694,124,181,734,99,44
199,124,0,16708,488,694,124,181,734,99,44
200,125,0,16707,488,694,124,181,734,99,44
201,127,0,16705,488,694,125,180,734,99,44
202,127,0,16705,488,694,125,180,734,99,44
203,128,0,16704,488,694,125,180,734,99,44
204,127,0,16705,488,694,125,180,734,99,44
205,127,0,16705,488,694,125,180,734,99,44
206,127,0,16705,488,694,125,180,734,99,44
207,127,0,16705,488,694,125,180,734,99,44
208,131,0,16701,489,693,125,181,733,99,44
209,133,0,16699,489,693,125,181,733,99,44
210,133,0,16699,489,693,125,181,733,99,44
211,134,0,16698,489,693,125,181,733,99,44
212,134,0,16698,489,693,125,181,733,99,44
213,134,0,16698,489,693,125,181,733,99,44
214,134,0,16698,489,693,125,181,733,99,44
215,136,0,16696,489,693,125,182,732,99,44
216,136,0,16696,489,693,125,182,732,99,44
217,138,0,16694,489,693,125,182,732,99,44
218,138,0,16694,489,693,125,182,732,99,44
219,139,0,16693,489,693,125,182,733,98,44
220,140,0,16692,489,693,125,181,734,99,43
221,140,0,16692,489,693,125,181,734,99,43
222,140,0,16692,489,693,125,181,734,99,43
223,141,0,16691,489,693,125,181,734,99,43
224,142,0,16690,489,693,125,181,734,99,43
225,142,0,16690,489,693,125,181,734,99,43
226,142,0,16690,489,693,125,181,734,99,43
227,142,0,16690,489,693,125,181,734,99,43
228,142,0,16690,489,693,125,181,734,99,43
229,143,0,16689,489,693,125,181,734,99,43
230,145,0,16687,489,693,125,181,734,99,43
231,146,0,16686,489,693,125,181,734,100,42
232,146,0,16686,489,693,125,181,734,100,42
233,145,0,16687,489,693,125,181,734,100,42
234,145,0,16687,489,693,125,181,734,100,42
235,145,0,16687,489,693,125,181,734,100,42
236,145,0,16687,489,693,125,181,734,100,42
237,145,0,16687,489,693,125,181,734,100,42
238,147,0,16685,489,693,125,181,734,100,42
239,147,0,16685,489,693,125,181,734,100,42
240,147,0,16685,489,693,125,181,734,100,42
241,149,0,16683,490,692,125,183,732,100,42
242,150,0,16682,490,692,125,183,732,100,42
243,151,0,16681,490,692,125,183,732,100,42
244,151,0,16681,490,692,125,183,732,100,42
245,152,0,16680,490,692,125,183,733,99,42
246,153,0,16679,490,692,125,183,733,99,42
247,154,0,16678,490,692,125,183,733,99,42
248,157,0,16675,490,692,125,184,732,99,42
249,158,0,16674,490,692,125,184,732,99,42
250,159,0,16673,491,691,125,185,731,99,42
251,159,0,16673,491,691,125,185,731,99,42
252,159,0,16673,491,691,125,185,731,99,42
253,159,0,16673,491,691,125,185,731,99,42
254,159,0,16673,491,691,125,185,731,99,42
255,159,0,16673,491,691,125,185,731,99,42
256,160,0,16672,491,691,125,185,731,99,42
257,160,0,16672,491,691,125,185,731,99,42
258,160,0,16672,491,691,125,185,731,99,42
259,160,0,16672,491,691,125,185,731,99,42
260,160,0,16672,491,691,125,185,731,99,42
261,161,0,16671,491,691,125,185,731,99,42
262,161,0,16671,491,691,125,185,731,99,42
263,160,0,16672,491,691,125,185,730,100,42
264,161,0,16671,491,691,125,185,730,100,42
265,161,0,16671,491,691,125,185,730,100,42
266,161,0,16671,491,691,125,185,730,100,42
267,161,0,16671,491,691,125,185,730,100,42
268,161,0,16671,491,691,125,185,730,100,42
269,161,0,16671,491,691,125,185,730,100,42
270,161,0,16671,491,691,125,185,730,100,42
271,160,0,16672,491,691,125,185,729,101,42
272,160,0,16672,491,691,125,185,729,101,42
273,160,0,16672,491,691,125,185,729,101,42
274,161,0,16671,491,691,125,185,729,101,42
275,163,0,16669,491,691,126,184,729,101,42
276,163,0,16669,491,691,126,184,729,101,42
277,163,0,16669,491,691,126,184,729,101,42
278,163,0,16669,491,691,126,184,729,101,42
279,163,0,16669,491,691,126,184,729,101,42
280,163,0,16669,491,691,126,184,729,101,42
281,164,0,16668,491,691,126,184,729,101,42
282,165,0,16667,491,691,126,184,729,101,42
283,167,0,16665,491,691,127,183,729,101,42
284,168,0,16664,491,691,128,182,729,101,42
285,168,0,16664,491,691,128,182,729,101,42
286,170,0,16662,491,691,128,182,729,101,42
287,169,0,16663,491,691,128,182,729,101,42
288,169,0,16663,491,691,128,182,729,101,42
289,169,0,16663,491,691,128,182,729,101,42
290,171,0,16661,491,691,128,182,729,101,42
291,171,0,16661,491,691,128,182,729,101,42
292,174,0,16658,491,691,129,181,729,101,42
293,174,0,16658,491,691,129,181,729,101,42
294,174,0,16658,491,691,129,181,729,101,42
295,174,0,16658,491,691,129,181,729,101,42
296,175,0,16657,491,691,129,181,729,101,42
297,175,0,16657,491,691,129,181,729,101,42
298,175,0,16657,491,691,129,181,729,101,42
299,176,0,16656,491,691,129,181,729,101,42
300,178,0,16654,491,691,129,181,730,100,42
301,179,0,16653,491,691,129,181,730,100,42
302,180,0,16652,492,690,129,182,729,100,42
303,180,0,16652,492,690,129,182,729,100,42
304,181,0,16651,492,690,129,182,729,100,42
305,182,0,16650,492,690,129,182,729,100,42
306,181,0,16651,492,690,129,182,729,100,42
307,182,0,16650,493,689,129,183,728,100,42
308,183,0,16649,493,689,129,183,728,100,42
309,182,0,16650,493,689,129,183,728,100,42
310,183,0,16649,493,689,129,183,728,100,42
311,182,0,16650,493,689,129,183,728,100,42
312,183,0,16649,493,689,129,183,728,100,42
313,183,0,16649,493,689,129,183,728,100,42
314,182,0,16650,492,690,129,182,729,100,42
315,182,0,16650,492,690,129,182,729,100,42
316,183,0,16649,491,691,129,182,729,100,42
317,183,0,16649,491,691,129,182,729,100,42
318,183,0,16649,491,691,129,182,729,100,42
319,184,0,16648,490,692,129,182,729,100,42
320,184,0,16648,490,692,129,182,729,100,42
321,186,0,16646,490,692,129,182,729,100,42
322,187,0,16645,490,692,129,182,729,100,42
323,188,0,16644,490,692,130,181,729,100,42
324,189,0,16643,490,692,130,181,729,100,42
325,190,0,16642,490,692,130,181,729,100,42
326,190,0,16642,490,692,130,181,729,100,42
327,191,0,16641,490,692,130,181,729,100,42
328,191,0,16641,490,692,130,181,729,100,42
329,191,0,16641,490,692,130,181,729,100,42
330,192,0,16640,490,692,130,181,729,100,42
331,191,0,16641,490,692,130,181,729,100,42
332,190,0,16642,490,692,130,181,729,100,42
333,191,0,16641,490,692,130,181,729,100,42
334,191,0,16641,490,692,130,181,729,100,42
335,191,0,16641,490,692,130,181,729,100,42
336,191,0,16641,490,692,130,181,729,100,42
337,193,0,16639,490,692,130,181,729,100,42
338,195,0,16637,489,693,130,181,729,100,42
339,195,0,16637,489,693,130,181,729,100,42
340,195,0,16637,489,693,130,181,729,100,42
341,197,0,16635,489,693,130,181,729,100,42
342,198,0,16634,488,694,130,181,729,100,42
343,198,0,16634,488,694,130,181,729,100,42
344,198,0,16634,488,694,130,181,729,100,42
345,198,0,16634,488,694,130,181,729,100,42
346,199,0,16633,488,694,130,181,729,100,42
347,199,0,16633,488,694,130,181,729,100,42
348,199,0,16633,488,694,130,181,729,99,43
349,199,0,16633,488,694,130,181,729,99,43
350,200,0,16632,488,694,130,181,729,99,43
351,200,0,16632,488,694,130,181,729,99,43
352,200,0,16632,488,694,130,181,729,99,43
353,201,0,16631,488,694,130,181,730,98,43
354,201,0,16631,488,694,130,181,730,98,43
355,201,0,16631,488,694,130,181,730,98,43
356,204,0,16628,488,694,130,181,730,98,43
357,205,0,16627,488,694,131,180,730,98,43
358,206,0,16626,488,694,131,180,730,98,43
359,206,0,16626,488,694,131,180,730,98,43
360,206,0,16626,488,694,131,180,730,98,43
361,207,0,16625,488,694,131,180,730,98,43
362,207,0,16625,488,694,131,180,730,98,43
363,208,0,16624,489,693,131,181,729,98,43
364,208,0,16624,489,693,131,181,729,98,43
365,211,0,16621,490,692,132,181,728,98,43
366,211,0,16621,490,692,132,181,728,98,43
367,213,0,16619,490,692,132,181,728,98,43
368,214,0,16618,490,692,132,181,728,98,43
369,215,0,16617,490,692,132,181,728,98,43
370,215,0,16617,490,692,132,181,728,98,43
371,215,0,16617,490,692,132,181,728,98,43
372,215,0,16617,490,692,132,181,728,98,43
373,216,0,16616,491,691,132,182,727,98,43
374,216,0,16616,491,691,132,182,727,98,43
375,215,0,16617,490,692,132,181,728,98,43
376,215,0,16617,490,692,132,181,728,98,43
377,215,0,16617,490,692,132,181,728,98,43
378,216,0,16616,490,692,132,181,728,98,43
379,218,0,16614,490,692,133,180,728,98,43
380,218,0,16614,490,692,133,180,728,98,43
381,219,0,16613,490,692,133,180,728,98,43
382,219,0,16613,490,692,133,180,728,98,43
383,219,0,16613,490,692,133,180,728,98,43
384,221,0,16611,490,692,133,180,728,98,43
385,220,0,16612,489,693,133,179,729,98,43
386,220,0,16612,489,693,133,179,729,98,43
387,221,0,16611,489,693,133,179,729,98,43
388,221,0,16611,489,693,133,179,729,98,43
389,222,0,16610,489,693,134,178,729,98,43
390,222,0,16610,489,693,134,178,729,98,43
391,222,0,16610,489,693,134,178,729,98,43
392,221,0,16611,489,693,134,178,729,98,43
393,221,0,16611,489,693,134,178,729,98,43
394,221,0,16611,489,693,134,178,729,98,43
395,222,0,16610,489,693,134,178,729,98,43
396,223,0,16609,490,692,134,179,728,98,43
397,223,0,16609,490,692,134,179,728,98,43
398,224,0,16608,490,692,134,179,728,98,43
399,224,0,16608,490,692,134,179,728,98,43
400,224,0,16608,490,692,134,179,728,98,43
401,224,0,16608,490,692,134,179,728,98,43
402,225,0,16607,491,691,134,180,727,98,43
403,225,0,16607,491,691,134,180,727,98,43
404,225,0,16607,491,691,134,180,727,98,43
405,228,0,16604,491,691,134,180,727,98,43
406,230,0,16602,491,691,134,180,727,98,43
407,231,0,16601,491,691,134,180,727,98,43
408,231,0,16601,491,691,134,180,727,98,43
409,231,0,16601,491,691,134,180,727,98,43
410,232,0,16600,491,691,134,180,727,98,43
411,232,0,16600,491,691,134,180,727,98,43
412,232,0,16600,491,691,134,180,727,98,43
413,234,0,16598,491,691,135,179,727,98,43
414,234,0,16598,491,691,135,179,727,98,43
415,234,0,16598,491,691,135,179,727,98,43
416,234,0,16598,491,691,135,179,727,98,43
417,233,0,16599,491,691,134,180,727,98,43
418,234,0,16598,491,691,134,181,726,98,43
419,235,0,16597,491,691,134,181,726,98,43
420,235,0,16597,491,691,134,181,726,98,43
421,236,0,16596,491,691,134,181,726,98,43
422,237,0,16595,491,691,134,181,726,98,43
423,239,0,16593,491,691,135,180,726,98,43
424,240,0,16592,491,691,135,180,726,98,43
425,240,0,16592,491,691,135,180,726,98,43
426,241,0,16591,491,691,135,180,726,98,43
427,241,0,16591,491,691,135,180,726,98,43
428,242,0,16590,490,692,135,180,726,98,43
429,242,0,16590,490,692,135,180,726,98,43
430,243,0,16589,490,692,135,180,726,98,43
431,244,0,16588,490,692,135,180,726,98,43
432,246,0,16586,490,692,135,180,726,98,43
433,246,0,16586,490,692,135,180,726,98,43
434,246,0,16586,490,692,135,180,726,98,43
435,247,0,16585,490,692,135,180,726,98,43
436,249,0,16583,490,692,135,180,727,97,43
437,249,0,16583,490,692,135,180,727,97,43
438,249,0,16583,490,692,135,180,727,97,43
439,249,0,16583,490,692,135,180,727,97,43
440,250,0,16582,490,692,135,180,727,97,43
441,251,0,16581,490,692,135,180,727,97,43
442,252,0,16580,490,692,135,180,727,97,43
443,252,0,16580,490,692,135,180,727,97,43
444,253,0,16579,490,692,136,179,727,97,43
445,252,0,16580,490,692,136,179,727,97,43
446,252,0,16580,490,692,136,179,727,97,43
447,252,0,16580,490,692,136,179,727,97,43
448,253,0,16579,490,692,136,179,727,97,43
449,254,0,16578,490,692,136,179,727,97,43
450,254,0,16578,490,692,136,179,727,97,43
451,255,0,16577,490,692,136,179,727,97,43
452,255,0,16577,490,692,136,179,727,97,43
453,255,0,16577,490,692,136,179,727,97,43
454,255,0,16577,490,692,136,179,727,97,43
